CF_Handle,Rating,Total problems,Problems last month,Contest given,First contest date
tourist,"
                            3947
                    ",2599 problems,24 problems,268,"

                        Feb/25/2010 22:30UTC+5.5

"
jiangly,"
                            3734
                    ",6122 problems,82 problems,162,"

                        Jan/20/2019 17:35UTC+5.5

"
Benq,"
                            3620
                    ",3740 problems,24 problems,151,"

                        Jul/14/2015 20:40UTC+5.5

"
ksun48,"
                            3479
                    ",3316 problems,37 problems,276,"

                        Jan/08/2012 21:30UTC+5.5

"
ecnerwala,"
                            3581
                    ",2989 problems,17 problems,186,"

                        Jul/11/2012 22:00UTC+5.5

"
Rewinding,"
                            3300
                    ",1126 problems,8 problems,58,"

                        Feb/16/2018 20:35UTC+5.5

"
Petr,"
                            3266
                    ",1252 problems,7 problems,217,"

                        Feb/25/2010 22:30UTC+5.5

"
gyh20,"
                            3447
                    ",1308 problems,0 problems,75,"

                        Dec/14/2019 16:35UTC+5.5

"
maspy,"
                            3127
                    ",9359 problems,99 problems,76,"

                        Jul/10/2021 20:05UTC+5.5

"
Nachia,"
                            3111
                    ",501 problems,9 problems,49,"

                        Mar/01/2020 18:45UTC+5.5

"
Elegia,"
                            3109
                    ",1221 problems,0 problems,50,"

                        Sep/25/2017 16:05UTC+5.5

"
Egor,"
                            3072
                    ",2614 problems,45 problems,295,"

                        Mar/12/2010 17:30UTC+5.5

"
crazy_sea,"
                            3065
                    ",397 problems,9 problems,40,"

                        Feb/12/2021 20:20UTC+5.5

"
StarSilk,"
                            3033
                    ",2934 problems,135 problems,58,"

                        Jul/10/2022 20:05UTC+5.5

"
Sana,"
                            2858
                    ",,,59,"

                        Apr/13/2020 20:05UTC+5.5

"
Crying,"
                            2769
                    ",1216 problems,21 problems,49,"

                        Dec/19/2020 15:05UTC+5.5

"
Brovko,"
                            2708
                    ",4706 problems,111 problems,89,"

                        Jun/16/2018 22:05UTC+5.5

"
talant,"
                            2613
                    ",2586 problems,60 problems,73,"

                        Aug/20/2019 20:05UTC+5.5

"
kizen,"
                            2607
                    ",624 problems,24 problems,90,"

                        May/01/2018 19:35UTC+5.5

"
xukai,"
                            2600
                    ",606 problems,5 problems,40,"

                        Nov/26/2021 16:45UTC+5.5

"
noya2,"
                            2590
                    ",1568 problems,70 problems,74,"

                        Mar/19/2020 20:05UTC+5.5

"
Potassium,"
                            2549
                    ",2377 problems,20 problems,141,"

                        Dec/29/2017 21:10UTC+5.5

"
CodeFurces,"
                            2544
                    ",801 problems,156 problems,14,"

                        Dec/28/2023 20:05UTC+5.5

"
hyforces,"
                            2503
                    ",440 problems,11 problems,37,"

                        Jun/18/2018 22:05UTC+5.5

"
Dorost,"
                            2500
                    ",2432 problems,14 problems,232,"

                        Sep/15/2019 16:05UTC+5.5

"
Caiii,"
                            2502
                    ",44 problems,8 problems,8,"

                        Feb/29/2024 20:05UTC+5.5

"
5ab,"
                            2487
                    ",923 problems,0 problems,62,"

                        Sep/21/2019 12:35UTC+5.5

"
toam,"
                            2484
                    ",2021 problems,57 problems,73,"

                        Jun/25/2021 21:05UTC+5.5

"
Shik,"
                            2475
                    ",2464 problems,6 problems,196,"

                        Jun/10/2010 21:30UTC+5.5

"
tfg,"
                            2470
                    ",,,195,"

                        Sep/13/2016 22:05UTC+5.5

"
kmjp,"
                            2469
                    ",6744 problems,72 problems,362,"

                        Jan/22/2013 22:00UTC+5.5

"
cn449,"
                            2469
                    ",392 problems,42 problems,47,"

                        Jul/12/2019 20:05UTC+5.5

"
pooty,"
                            2454
                    ",1886 problems,11 problems,144,"

                        Nov/30/2020 20:05UTC+5.5

"
Sert,"
                            2432
                    ",2699 problems,12 problems,122,"

                        Aug/29/2011 22:30UTC+5.5

"
jhkoh,"
                            2325
                    ",1360 problems,21 problems,90,"

                        Feb/15/2020 18:35UTC+5.5

"
Gilwall,"
                            2314
                    ",830 problems,0 problems,33,"

                        Sep/21/2019 12:35UTC+5.5

"
zzpc,"
                            2310
                    ",223 problems,6 problems,26,"

                        Feb/02/2017 19:05UTC+5.5

"
Minh,"
                            2307
                    ",235 problems,0 problems,54,"

                        Apr/11/2021 20:05UTC+5.5

"
Ari,"
                            2302
                    ",1958 problems,0 problems,100,"

                        Dec/17/2017 12:05UTC+5.5

"
